line,name,lon,lat,20200801,20200802,20200803,20200804,20200805,20200806,20200807,20200808,20200809,20200810,20200811,20200812,20200813,20200814,20200815,20200816,20200817,20200818,20200819,20200820,20200821,20200822,20200823,20200824,20200825,20200826,20200827,20200828,20200829,20200830,20200831
3호선,대치,127.063446,37.494569,6839,4130,10150,10371,10346,11206,11898,9431,5604,11440,11405,11351,11425,11677,7715,5859,7236,10365,9346,9065,9211,5853,3547,8411,8535,8256,7966,8445,5421,3043,7048
3호선,도곡,127.0551068,37.4905166,2565,1395,5003,5124,5247,5296,5588,2970,1460,5322,5252,5335,5209,5110,2372,1588,2491,4846,4796,4545,4518,2254,1111,4435,4504,4322,3920,3972,1970,988,4183
2호선,도림천,126.8864678,37.5122164,494,364,1252,1267,1375,1401,1370,769,338,1254,1277,1248,1274,1256,627,415,757,1214,1207,1181,1164,674,315,1304,1308,1156,1077,1124,591,300,1073
3호선,독립문,126.957918,37.574453,4513,2832,5945,6529,6423,6802,7315,5406,2875,6645,6796,7362,7076,6961,5840,3727,4208,6486,6054,5890,5881,3657,2389,5761,5915,5595,5278,5680,3136,2240,5427
1호선,동대문,127.0111585,37.5717398,23138,10641,19447,21554,20503,33221,35856,25109,9251,27592,25601,28008,27025,25868,18273,12413,22695,29579,28222,27730,27587,16385,9155,27100,27147,26712,24559,26753,15455,7848,25892
2호선,동대문역사문화공원,127.008953,37.565682,17378,11394,23045,24393,24564,27971,28727,19296,10815,23130,23461,24852,24270,23367,15265,12826,15563,24196,23248,22748,22423,12800,9778,22196,22170,21696,19774,21233,11985,8153,20463
3호선,동대입구,127.005316,37.558126,4364,3356,6061,6532,6518,6853,7156,5358,3306,6398,6839,7024,7238,7026,4734,4043,4157,6616,6469,6371,6212,3585,3048,5928,6008,6109,5442,5937,3498,2865,5470
1호선,동묘앞,127.0162228,37.5733383,6433,4992,5170,6470,5789,6467,7949,8465,3537,6109,6287,7637,7459,6988,6039,10789,6534,6797,6533,6608,6422,6554,8452,6352,6605,6224,5435,6318,5975,7375,5982
4호선,동작,126.9803302,37.5028909,1497,951,2137,2349,2120,3191,2884,1638,981,2173,2311,2373,2349,2378,1247,1237,1486,2156,2065,2083,2119,1245,1382,1989,1939,1821,1760,1823,1121,1003,1918
2호선,뚝섬,127.047327,37.547248,9048,5799,17384,18299,18731,20885,20720,10974,5855,19099,19944,20850,20360,20161,9041,7742,9317,18681,18031,17431,17183,6585,4908,16723,16795,16721,15559,16466,6158,3978,15621
3호선,매봉,127.046918,37.487035,4836,3023,11035,11515,11370,11977,12343,5361,3126,12003,12014,12357,12191,11981,4459,3296,5002,11377,10981,10724,10694,3798,2570,10197,10402,10025,9506,9976,3539,2136,9456
4호선,명동,126.9861868,37.5609892,10218,7273,15642,16587,16150,17365,18251,12497,6778,16238,16686,17508,17330,17243,10295,8519,8917,15594,14846,14470,14311,6403,5131,13797,13879,13294,12371,12931,5862,4217,13135
3호선,무악재,126.950134,37.582634,2226,1396,3289,3631,3600,3776,4060,2438,1372,3796,3831,4028,3886,3823,2240,1653,2028,3642,3465,3457,3344,1796,1122,3278,3250,3151,2992,3202,1685,1021,3033
2호선,문래,126.894808,37.517989,8923,5457,18613,19688,20158,21331,21990,10868,5616,21344,21931,22231,21740,21326,8936,6909,8824,19935,19302,18875,18842,7568,4254,18184,18307,17816,16815,17390,6641,4001,17035
4호선,미아,127.02615,37.626402,9296,6606,13220,13993,14189,14779,15563,10217,6220,14959,14621,15471,14955,14892,8271,7317,9503,13942,13241,13158,13021,7820,5443,12852,12876,12674,11754,12923,7439,4819,12246
4호선,미아사거리,127.030102,37.613259,18880,12645,24313,26153,26127,27775,29356,20984,12488,27057,27652,28691,27408,27906,17178,14636,17884,25476,24415,23678,24019,14759,10500,22240,23621,23067,21447,23383,14147,9490,22015
2호선,방배,126.997638,37.481512,8144,5252,14943,15777,16136,17065,17810,9475,5570,16750,17001,17749,17412,16986,7379,5786,7901,15855,14996,14687,14537,6855,4163,13881,14141,13772,12943,13791,6149,3475,12759
2호선,봉천,126.941574,37.482476,15346,9750,22323,23526,23722,24331,25568,16533,9695,24531,24913,25551,24784,24630,13765,10956,14304,23641,23054,22750,22336,12759,8200,21228,21550,21082,19689,21063,11771,7508,20111
3호선,불광,126.9298435,37.6105025,9931,6691,13645,14770,15003,16078,17098,11836,6496,15669,16118,17004,16260,15951,9454,8376,9863,15217,14582,14420,14046,8592,6356,13836,13924,13406,12221,13366,8155,5413,12984
